time,precip_rate,TMP_2maboveground,PRES_surface
1982-03-30 00:00:00,10.60367,-4.84067,0.587556613
1982-03-31 00:00:00,10.09831,-4.48578,0.605059479
1982-04-01 00:00:00,0.00036,1.88764,0.949067102
1982-04-02 00:00:00,8.31258,-2.34439,0.710200552
1982-04-03 00:00:00,0.22628,-4.815,0.597480394
1982-04-04 00:00:00,2.66356,1.47403,0.932927823
1982-04-05 00:00:00,4.25467,-6.58344,0.529164478
1982-04-06 00:00:00,2.59872,-3.68217,0.655290504
1982-04-07 00:00:00,3.96053,-4.687,0.61186207
1982-04-08 00:00:00,1.43322,-6.83628,0.525071365
1982-04-09 00:00:00,0.69519,-5.954,0.562121075
1982-04-10 00:00:00,1.53303,-4.51925,0.62594883
1982-04-11 00:00:00,5.25528,1.36689,0.949610406
1982-04-12 00:00:00,57.89189,6.69022,1.360516147
1982-04-13 00:00:00,0.51578,2.85858,1.058296957
1982-04-14 00:00:00,15.10897,5.12658,1.235943866
1982-04-15 00:00:00,1.14894,5.09156,1.237288767
1982-04-16 00:00:00,0,-3.63981,0.680653852
1982-04-17 00:00:00,0,-2.12169,0.7606764
1982-04-18 00:00:00,0,2.22083,1.030834227
1982-04-19 00:00:00,0.01736,-4.12422,0.664037945
1982-04-20 00:00:00,0.00036,-6.96064,0.542077285
1982-04-21 00:00:00,0.74542,-5.17006,0.619820949
1982-04-22 00:00:00,1.14894,1.23211,0.976244753
1982-04-23 00:00:00,0,5.85528,1.335985498
1982-04-24 00:00:00,0,6.27731,1.377910111
1982-04-25 00:00:00,0.62108,7.141,1.462518917
1982-04-26 00:00:00,0.18278,6.90178,1.444347231
1982-04-27 00:00:00,1.68406,6.72925,1.432544082
1982-04-28 00:00:00,0,6.71267,1.435336883
1982-04-29 00:00:00,7.63075,8.60417,1.627547947
1982-04-30 00:00:00,2.12897,2.79319,1.112727361
1982-05-01 00:00:00,0,7.43553,1.518019521
1982-05-02 00:00:00,5.47444,11.57239,1.982779137
1982-05-03 00:00:00,0,12.10047,2.055325358
1982-05-04 00:00:00,14.70978,8.30019,1.6192523
1982-05-05 00:00:00,0.45761,1.26317,1.017151062
1982-05-06 00:00:00,1.26689,0.499,0.967773031
